pair,count
is=>five,5007
is=>us,2352
is=>on,338948
is=>none,15464
is=>some,13653
is=>the,844473
is=>you,82245
is=>was,215630
is=>did,6746
is=>of,230416
is=>when,603862
is=>six,4572
is=>his,19752
is=>many,13788
is=>mine,19239
is=>given,22338
is=>that,1942686
is=>your,12912
is=>do,57993
is=>it,2058236
is=>how,543137
is=>their,9390
is=>who,640885
is=>yours,21033
is=>test,23352
is=>have,200980
is=>and,3615710
is=>with,450618
is=>what,5693875
is=>by,137361
is=>two,17052
is=>is,2377504
is=>nine,3750
is=>for,1227438
is=>he,386528
is=>most,15927
is=>she,103578
is=>give,24189
is=>where,503460
is=>but,408344
is=>am,30927
is=>had,31716
is=>an,191466
is=>good,149140
is=>as,386284
is=>be,298328
is=>were,35484
is=>will,20790
is=>three,12141
is=>which,749640
is=>from,161672
is=>in,1081276
is=>him,5697
is=>why,427782
is=>bad,23094
is=>this,2831070
is=>they,4674
is=>one,343035
is=>tests,5328
is=>been,35595
is=>not,2941712
is=>my,8463
is=>at,219016
is=>all,120858
is=>we,9228
is=>those,6369
is=>me,25092
is=>its,9297
is=>are,281772
is=>ours,8955
is=>ten,2193
is=>them,3603
is=>i,127448
is=>her,10728
is=>very,2847
is=>four,8706
is=>seven,3279
is=>theirs,1234
is=>these,5403
is=>hers,560
is=>a,97810
is=>gave,6105
is=>thing,90168
is=>would,2937
is=>has,110968
is=>few,2091
is=>to,358072
is=>or,190420
is=>things,8672
is=>our,8277
is=>eight,3519
